"from","to","weight"
"AI & Robotics","Community Response: Literature Reccomendation",69
"AI & Robotics","Community Response: Meta-Discussion & r/collapse as Community",43
"AI & Robotics","Community Response: Skepticism of Climate Change & Collapse",1
"AI & Robotics","Practical Response: Adaptation & Preparedness",67
"AI & Robotics","Practical Response: Public Awareness & Media & Information",65
"AI & Robotics","Psychological Response: Fictional Description",16
"AI & Robotics","Psychological Response: Mental Health & Mindset",64
"Agriculture & Food Systems","AI & Robotics",92
"Agriculture & Food Systems","Community Response: Literature Reccomendation",325
"Agriculture & Food Systems","Community Response: Meta-Discussion & r/collapse as Community",277
"Agriculture & Food Systems","Community Response: Skepticism of Climate Change & Collapse",9
"Agriculture & Food Systems","Demographic Challenges",41
"Agriculture & Food Systems","Foreign Affairs: Geopolitics & Conflict & War & Military",407
"Agriculture & Food Systems","Foreign Affairs: Migration & Borders",178
"Agriculture & Food Systems","Health Disaster & Pandemics",106
"Agriculture & Food Systems","Internal Affairs: Riot & Murder & Civil War",126
"Agriculture & Food Systems","Labor & Employment",244
"Agriculture & Food Systems","Macroeconomics & Systemic Risk",357
"Agriculture & Food Systems","Natural Disaster (Geosphere & Seismic Activity)",59
"Agriculture & Food Systems","Nuclear Power",35
"Agriculture & Food Systems","Personal Finance & Assets",482
"Agriculture & Food Systems","Practical Response: Adaptation & Preparedness",418
"Agriculture & Food Systems","Practical Response: Public Awareness & Media & Information",245
"Agriculture & Food Systems","Psychological Response: Fictional Description",71
"Agriculture & Food Systems","Psychological Response: Mental Health & Mindset",355
"Agriculture & Food Systems","Real Estate Market",325
"Agriculture & Food Systems","Societal & Cultural Decay",117
"Agriculture & Food Systems","Systemic Inequality & Systemic Critique",197
"Climate Change & Global Warming: Extreme Weather","AI & Robotics",30
"Climate Change & Global Warming: Extreme Weather","Agriculture & Food Systems",241
"Climate Change & Global Warming: Extreme Weather","Climate Change & Global Warming: Ice Caps & Cryosphere",72
"Climate Change & Global Warming: Extreme Weather","Climate Change & Global Warming: Ocean & Hydrosphere",20
"Climate Change & Global Warming: Extreme Weather","Community Response: Literature Reccomendation",150
"Climate Change & Global Warming: Extreme Weather","Community Response: Meta-Discussion & r/collapse as Community",110
"Climate Change & Global Warming: Extreme Weather","Community Response: Skepticism of Climate Change & Collapse",6
"Climate Change & Global Warming: Extreme Weather","Demographic Challenges",9
"Climate Change & Global Warming: Extreme Weather","Ecosystem & Biodiversity",159
"Climate Change & Global Warming: Extreme Weather","Foreign Affairs: Geopolitics & Conflict & War & Military",174
"Climate Change & Global Warming: Extreme Weather","Foreign Affairs: Migration & Borders",77
"Climate Change & Global Warming: Extreme Weather","Health Disaster & Pandemics",36
"Climate Change & Global Warming: Extreme Weather","Internal Affairs: Riot & Murder & Civil War",63
"Climate Change & Global Warming: Extreme Weather","Labor & Employment",90
"Climate Change & Global Warming: Extreme Weather","Macroeconomics & Systemic Risk",150
"Climate Change & Global Warming: Extreme Weather","Natural Disaster (Geosphere & Seismic Activity)",55
"Climate Change & Global Warming: Extreme Weather","Nuclear Power",16
"Climate Change & Global Warming: Extreme Weather","Personal Finance & Assets",396
"Climate Change & Global Warming: Extreme Weather","Pollution & Contamination",123
"Climate Change & Global Warming: Extreme Weather","Practical Response: Adaptation & Preparedness",153
"Climate Change & Global Warming: Extreme Weather","Practical Response: Public Awareness & Media & Information",108
"Climate Change & Global Warming: Extreme Weather","Psychological Response: Fictional Description",21
"Climate Change & Global Warming: Extreme Weather","Psychological Response: Mental Health & Mindset",159
"Climate Change & Global Warming: Extreme Weather","Real Estate Market",132
"Climate Change & Global Warming: Extreme Weather","Resource Depletion & Energy",270
"Climate Change & Global Warming: Extreme Weather","Societal & Cultural Decay",53
"Climate Change & Global Warming: Extreme Weather","Systemic Inequality & Systemic Critique",83
"Climate Change & Global Warming: General","AI & Robotics",104
"Climate Change & Global Warming: General","Agriculture & Food Systems",676
"Climate Change & Global Warming: General","Climate Change & Global Warming: Extreme Weather",329
"Climate Change & Global Warming: General","Climate Change & Global Warming: Ice Caps & Cryosphere",203
"Climate Change & Global Warming: General","Climate Change & Global Warming: Ocean & Hydrosphere",59
"Climate Change & Global Warming: General","Community Response: Literature Reccomendation",575
"Climate Change & Global Warming: General","Community Response: Meta-Discussion & r/collapse as Community",384
"Climate Change & Global Warming: General","Community Response: Skepticism of Climate Change & Collapse",15
"Climate Change & Global Warming: General","Demographic Challenges",65
"Climate Change & Global Warming: General","Ecosystem & Biodiversity",595
"Climate Change & Global Warming: General","Foreign Affairs: Geopolitics & Conflict & War & Military",504
"Climate Change & Global Warming: General","Foreign Affairs: Migration & Borders",224
"Climate Change & Global Warming: General","Health Disaster & Pandemics",86
"Climate Change & Global Warming: General","Internal Affairs: Riot & Murder & Civil War",175
"Climate Change & Global Warming: General","Labor & Employment",283
"Climate Change & Global Warming: General","Macroeconomics & Systemic Risk",459
"Climate Change & Global Warming: General","Natural Disaster (Geosphere & Seismic Activity)",104
"Climate Change & Global Warming: General","Nuclear Power",61
"Climate Change & Global Warming: General","Personal Finance & Assets",665
"Climate Change & Global Warming: General","Pollution & Contamination",410
"Climate Change & Global Warming: General","Practical Response: Adaptation & Preparedness",504
"Climate Change & Global Warming: General","Practical Response: Public Awareness & Media & Information",398
"Climate Change & Global Warming: General","Psychological Response: Fictional Description",107
"Climate Change & Global Warming: General","Psychological Response: Mental Health & Mindset",568
"Climate Change & Global Warming: General","Real Estate Market",388
"Climate Change & Global Warming: General","Resource Depletion & Energy",1020
"Climate Change & Global Warming: General","Societal & Cultural Decay",166
"Climate Change & Global Warming: General","Systemic Inequality & Systemic Critique",301
"Climate Change & Global Warming: Ice Caps & Cryosphere","AI & Robotics",11
"Climate Change & Global Warming: Ice Caps & Cryosphere","Agriculture & Food Systems",88
"Climate Change & Global Warming: Ice Caps & Cryosphere","Climate Change & Global Warming: Ocean & Hydrosphere",19
"Climate Change & Global Warming: Ice Caps & Cryosphere","Community Response: Literature Reccomendation",74
"Climate Change & Global Warming: Ice Caps & Cryosphere","Community Response: Meta-Discussion & r/collapse as Community",45
"Climate Change & Global Warming: Ice Caps & Cryosphere","Community Response: Skepticism of Climate Change & Collapse",2
"Climate Change & Global Warming: Ice Caps & Cryosphere","Demographic Challenges",3
"Climate Change & Global Warming: Ice Caps & Cryosphere","Ecosystem & Biodiversity",78
"Climate Change & Global Warming: Ice Caps & Cryosphere","Foreign Affairs: Geopolitics & Conflict & War & Military",49
"Climate Change & Global Warming: Ice Caps & Cryosphere","Foreign Affairs: Migration & Borders",30
"Climate Change & Global Warming: Ice Caps & Cryosphere","Health Disaster & Pandemics",9
"Climate Change & Global Warming: Ice Caps & Cryosphere","Internal Affairs: Riot & Murder & Civil War",18
"Climate Change & Global Warming: Ice Caps & Cryosphere","Labor & Employment",28
"Climate Change & Global Warming: Ice Caps & Cryosphere","Macroeconomics & Systemic Risk",37
"Climate Change & Global Warming: Ice Caps & Cryosphere","Natural Disaster (Geosphere & Seismic Activity)",24
"Climate Change & Global Warming: Ice Caps & Cryosphere","Nuclear Power",10
"Climate Change & Global Warming: Ice Caps & Cryosphere","Personal Finance & Assets",81
"Climate Change & Global Warming: Ice Caps & Cryosphere","Pollution & Contamination",52
"Climate Change & Global Warming: Ice Caps & Cryosphere","Practical Response: Adaptation & Preparedness",60
"Climate Change & Global Warming: Ice Caps & Cryosphere","Practical Response: Public Awareness & Media & Information",54
"Climate Change & Global Warming: Ice Caps & Cryosphere","Psychological Response: Fictional Description",9
"Climate Change & Global Warming: Ice Caps & Cryosphere","Psychological Response: Mental Health & Mindset",58
"Climate Change & Global Warming: Ice Caps & Cryosphere","Real Estate Market",40
"Climate Change & Global Warming: Ice Caps & Cryosphere","Resource Depletion & Energy",115
"Climate Change & Global Warming: Ice Caps & Cryosphere","Societal & Cultural Decay",40
"Climate Change & Global Warming: Ice Caps & Cryosphere","Systemic Inequality & Systemic Critique",26
"Climate Change & Global Warming: Ocean & Hydrosphere","AI & Robotics",4
"Climate Change & Global Warming: Ocean & Hydrosphere","Agriculture & Food Systems",36
"Climate Change & Global Warming: Ocean & Hydrosphere","Community Response: Literature Reccomendation",20
"Climate Change & Global Warming: Ocean & Hydrosphere","Community Response: Meta-Discussion & r/collapse as Community",14
"Climate Change & Global Warming: Ocean & Hydrosphere","Demographic Challenges",5
"Climate Change & Global Warming: Ocean & Hydrosphere","Ecosystem & Biodiversity",42
"Climate Change & Global Warming: Ocean & Hydrosphere","Foreign Affairs: Geopolitics & Conflict & War & Military",20
"Climate Change & Global Warming: Ocean & Hydrosphere","Foreign Affairs: Migration & Borders",8
"Climate Change & Global Warming: Ocean & Hydrosphere","Health Disaster & Pandemics",3
"Climate Change & Global Warming: Ocean & Hydrosphere","Internal Affairs: Riot & Murder & Civil War",8
"Climate Change & Global Warming: Ocean & Hydrosphere","Labor & Employment",9
"Climate Change & Global Warming: Ocean & Hydrosphere","Macroeconomics & Systemic Risk",18
"Climate Change & Global Warming: Ocean & Hydrosphere","Natural Disaster (Geosphere & Seismic Activity)",6
"Climate Change & Global Warming: Ocean & Hydrosphere","Nuclear Power",3
"Climate Change & Global Warming: Ocean & Hydrosphere","Personal Finance & Assets",33
"Climate Change & Global Warming: Ocean & Hydrosphere","Pollution & Contamination",30
"Climate Change & Global Warming: Ocean & Hydrosphere","Practical Response: Adaptation & Preparedness",17
"Climate Change & Global Warming: Ocean & Hydrosphere","Practical Response: Public Awareness & Media & Information",14
"Climate Change & Global Warming: Ocean & Hydrosphere","Psychological Response: Fictional Description",3
"Climate Change & Global Warming: Ocean & Hydrosphere","Psychological Response: Mental Health & Mindset",15
"Climate Change & Global Warming: Ocean & Hydrosphere","Real Estate Market",16
"Climate Change & Global Warming: Ocean & Hydrosphere","Resource Depletion & Energy",41
"Climate Change & Global Warming: Ocean & Hydrosphere","Societal & Cultural Decay",8
"Climate Change & Global Warming: Ocean & Hydrosphere","Systemic Inequality & Systemic Critique",15
"Community Response: Literature Reccomendation","Community Response: Skepticism of Climate Change & Collapse",13
"Community Response: Meta-Discussion & r/collapse as Community","Community Response: Literature Reccomendation",330
"Community Response: Meta-Discussion & r/collapse as Community","Community Response: Skepticism of Climate Change & Collapse",15
"Demographic Challenges","AI & Robotics",5
"Demographic Challenges","Community Response: Literature Reccomendation",34
"Demographic Challenges","Community Response: Meta-Discussion & r/collapse as Community",32
"Demographic Challenges","Community Response: Skepticism of Climate Change & Collapse",3
"Demographic Challenges","Foreign Affairs: Geopolitics & Conflict & War & Military",28
"Demographic Challenges","Foreign Affairs: Migration & Borders",19
"Demographic Challenges","Internal Affairs: Riot & Murder & Civil War",16
"Demographic Challenges","Labor & Employment",30
"Demographic Challenges","Macroeconomics & Systemic Risk",42
"Demographic Challenges","Nuclear Power",2
"Demographic Challenges","Personal Finance & Assets",43
"Demographic Challenges","Practical Response: Adaptation & Preparedness",32
"Demographic Challenges","Practical Response: Public Awareness & Media & Information",24
"Demographic Challenges","Psychological Response: Fictional Description",14
"Demographic Challenges","Psychological Response: Mental Health & Mindset",40
"Demographic Challenges","Real Estate Market",28
"Demographic Challenges","Societal & Cultural Decay",13
"Demographic Challenges","Systemic Inequality & Systemic Critique",34
"Ecosystem & Biodiversity","AI & Robotics",72
"Ecosystem & Biodiversity","Agriculture & Food Systems",430
"Ecosystem & Biodiversity","Community Response: Literature Reccomendation",300
"Ecosystem & Biodiversity","Community Response: Meta-Discussion & r/collapse as Community",214
"Ecosystem & Biodiversity","Community Response: Skepticism of Climate Change & Collapse",18
"Ecosystem & Biodiversity","Demographic Challenges",48
"Ecosystem & Biodiversity","Foreign Affairs: Geopolitics & Conflict & War & Military",268
"Ecosystem & Biodiversity","Foreign Affairs: Migration & Borders",109
"Ecosystem & Biodiversity","Health Disaster & Pandemics",67
"Ecosystem & Biodiversity","Internal Affairs: Riot & Murder & Civil War",99
"Ecosystem & Biodiversity","Labor & Employment",164
"Ecosystem & Biodiversity","Macroeconomics & Systemic Risk",262
"Ecosystem & Biodiversity","Natural Disaster (Geosphere & Seismic Activity)",47
"Ecosystem & Biodiversity","Nuclear Power",31
"Ecosystem & Biodiversity","Personal Finance & Assets",365
"Ecosystem & Biodiversity","Pollution & Contamination",252
"Ecosystem & Biodiversity","Practical Response: Adaptation & Preparedness",353
"Ecosystem & Biodiversity","Practical Response: Public Awareness & Media & Information",217
"Ecosystem & Biodiversity","Psychological Response: Fictional Description",70
"Ecosystem & Biodiversity","Psychological Response: Mental Health & Mindset",340
"Ecosystem & Biodiversity","Real Estate Market",189
"Ecosystem & Biodiversity","Societal & Cultural Decay",82
"Ecosystem & Biodiversity","Systemic Inequality & Systemic Critique",169
"Foreign Affairs: Geopolitics & Conflict & War & Military","AI & Robotics",92
"Foreign Affairs: Geopolitics & Conflict & War & Military","Community Response: Literature Reccomendation",299
"Foreign Affairs: Geopolitics & Conflict & War & Military","Community Response: Meta-Discussion & r/collapse as Community",200
"Foreign Affairs: Geopolitics & Conflict & War & Military","Community Response: Skepticism of Climate Change & Collapse",9
"Foreign Affairs: Geopolitics & Conflict & War & Military","Foreign Affairs: Migration & Borders",163
"Foreign Affairs: Geopolitics & Conflict & War & Military","Labor & Employment",192
"Foreign Affairs: Geopolitics & Conflict & War & Military","Macroeconomics & Systemic Risk",312
"Foreign Affairs: Geopolitics & Conflict & War & Military","Nuclear Power",86
"Foreign Affairs: Geopolitics & Conflict & War & Military","Personal Finance & Assets",376
"Foreign Affairs: Geopolitics & Conflict & War & Military","Practical Response: Adaptation & Preparedness",349
"Foreign Affairs: Geopolitics & Conflict & War & Military","Practical Response: Public Awareness & Media & Information",221
"Foreign Affairs: Geopolitics & Conflict & War & Military","Psychological Response: Fictional Description",68
"Foreign Affairs: Geopolitics & Conflict & War & Military","Psychological Response: Mental Health & Mindset",272
"Foreign Affairs: Geopolitics & Conflict & War & Military","Real Estate Market",218
"Foreign Affairs: Migration & Borders","AI & Robotics",22
"Foreign Affairs: Migration & Borders","Community Response: Literature Reccomendation",107
"Foreign Affairs: Migration & Borders","Community Response: Meta-Discussion & r/collapse as Community",77
"Foreign Affairs: Migration & Borders","Community Response: Skepticism of Climate Change & Collapse",5
"Foreign Affairs: Migration & Borders","Labor & Employment",64
"Foreign Affairs: Migration & Borders","Macroeconomics & Systemic Risk",113
"Foreign Affairs: Migration & Borders","Nuclear Power",12
"Foreign Affairs: Migration & Borders","Personal Finance & Assets",142
"Foreign Affairs: Migration & Borders","Practical Response: Adaptation & Preparedness",130
"Foreign Affairs: Migration & Borders","Practical Response: Public Awareness & Media & Information",79
"Foreign Affairs: Migration & Borders","Psychological Response: Fictional Description",33
